HugoSymbol,Dist,Low,High
TSPAN6,bimodal,1.4786690279359072,1.4786690279359072
TNMD,skew,0.07629409727726685,0.07629409727726685
DPM1,normal,5.2049414167404535,7.799392381129897
SCYL3,normal,1.2779093721553274,3.469986164618029
C1orf112,normal,2.0585462736118316,5.247662166167626
FGR,skew,0.4345855726504597,0.4345855726504597
CFH,bimodal,2.447731423420389,2.447731423420389
FUCA2,bimodal,1.6568514103848602,1.6568514103848602
GCLC,normal,2.3382115654549507,6.948205529195417
NFYA,normal,2.524791408967891,5.545294675309952
STPG1,bimodal,0.5997737670109575,0.5997737670109575
NIPAL3,normal,1.5072678587987283,5.753189997433658
LAS1L,normal,3.9431512298947453,6.651027424184745
ENPP4,bimodal,0.8257411322743855,0.8257411322743855
SEMA3F,skew,2.4521089261698212,2.4521089261698212
CFTR,skew,0.5553628037403533,0.5553628037403533
ANKIB1,normal,2.7828861449975584,5.68830149850308
CYP51A1,normal,3.346776681992521,7.557683623086609
KRIT1,normal,3.3761340795669996,6.014059828857428
RAD52,normal,1.7847314289825,4.764656514459113
BAD,normal,3.770690695888466,7.268360811580007
LAP3,normal,3.979892942458701,7.301522574511546
CD99,normal,3.0430021700231658,10.73742067986639
HS3ST1,skew,0.7849984119347516,0.7849984119347516
AOC1,skew,0.7039201808008052,0.7039201808008052
WNT16,skew,0.3373840148613146,0.3373840148613146
HECW1,skew,0.7849007017295272,0.7849007017295272
MAD1L1,normal,2.4064864233911574,6.435124597406324
LASP1,normal,4.547888777918281,8.564559991241433
SNX11,normal,2.59317030222274,5.135594105789502
TMEM176A,skew,0.833997054822023,0.833997054822023
M6PR,normal,5.307431767732132,7.971528817498933
KLHL13,bimodal,1.3048252186787783,1.3048252186787783
CYP26B1,skew,1.3443731841774507,1.3443731841774507
ICA1,bimodal,2.395189431880453,2.395189431880453
DBNDD1,bimodal,1.1244660289161905,1.1244660289161905
ALS2,normal,2.462183231159683,5.570507898221479
CASP10,bimodal,0.8611235980349139,0.8611235980349139
CFLAR,normal,2.2354295601828804,7.249761159095603
TFPI,bimodal,2.341729460740317,2.341729460740317
NDUFAF7,normal,2.689871707610164,4.753858965613302
RBM5,normal,4.144445212458882,7.626026834953791
MTMR7,skew,0.797551300798081,0.797551300798081
SLC7A2,skew,1.5644888041974467,1.5644888041974467
ARF5,normal,5.832048669187124,8.400075837591526
SARM1,bimodal,0.9788259240824009,0.9788259240824009
POLDIP2,normal,4.708610701716832,6.966665431266016
PLXND1,normal,0.6854491159692695,8.215529686204645
AK2,normal,6.19835455408427,8.686850825868554
CD38,skew,0.7689728326443107,0.7689728326443107
FKBP4,normal,4.183079057918083,7.7976101393305255
KDM1A,normal,4.311946096845209,7.54997864059355
RBM6,normal,3.88047653625128,6.773026800072394
CAMKK1,normal,-0.008053170365455387,4.139004587193975
RECQL,normal,3.112252694274651,7.0117592131598405
VPS50,normal,2.056560938435544,4.927416408200115
HSPB6,skew,0.9031851102325751,0.9031851102325751
ARHGAP33,normal,0.22753663995012818,5.691250183812729
NDUFAB1,normal,5.998355877492976,8.566751027275933
PDK4,skew,0.9797016958154687,0.9797016958154687
SLC22A16,skew,0.1949761378474574,0.1949761378474574
ZMYND10,skew,0.9038846875443386,0.9038846875443386
ABCB5,skew,0.26863002761856025,0.26863002761856025
ARX,skew,0.2103247532365911,0.2103247532365911
SLC25A13,normal,2.335805942237722,6.329339566451538
ST7,normal,2.1985883821773706,5.833851794014092
CDC27,normal,3.875162252888585,6.665265225076237
SLC4A1,skew,0.06599914397212794,0.06599914397212794
CALCR,skew,0.11377364477705473,0.11377364477705473
HCCS,normal,3.299562651791054,6.115553128766325
DVL2,normal,3.147561554705674,6.214378468990698
PRSS22,skew,1.89445654421249,1.89445654421249
UPF1,normal,3.5770362528054997,6.124346961279596
SKAP2,bimodal,1.055170284848753,1.055170284848753
SLC25A5,normal,7.287834986452035,10.180974339365443
MCUB,normal,1.0075115152023106,5.580964905103581
HOXA11,skew,1.1671525838195616,1.1671525838195616
POLR2J,normal,5.307315929133851,7.693790530688292
DHX33,normal,2.2574405317667017,5.279265199165141
MEOX1,skew,0.3682512748784762,0.3682512748784762
THSD7A,skew,0.4987396115299657,0.4987396115299657
LIG3,normal,2.2403375143648088,5.59859261623826
RPAP3,normal,3.391378365214324,5.834023111252655
ACSM3,skew,1.5505694036044018,1.5505694036044018
REXO5,normal,0.9721487250393803,4.69658199587059
CIAPIN1,normal,4.226683913283061,6.739190095334777
SPPL2B,normal,2.3170777179669297,6.952104198807827
FAM214B,normal,0.8577035032092271,5.233172475834391
COPZ2,weird,,
PRKAR2B,bimodal,2.014881222198132,2.014881222198132
MSL3,normal,2.5598354719728196,5.367675921237939
CREBBP,normal,2.233310420036521,5.475559018973756
TSPOAP1,skew,1.3360582697868442,1.3360582697868442
MPO,skew,0.41966733207016166,0.41966733207016166
PON1,skew,0.17759840917956574,0.17759840917956574
GCFC2,normal,2.2180396827628455,4.828606422617453
WDR54,normal,2.8426513349677602,6.8620228444982985
CROT,normal,1.0480800401142116,5.107242399196705
ABCB4,skew,0.5472067204690934,0.5472067204690934
KMT2E,normal,2.7809513201290024,5.779141133092645
RHBDD2,normal,3.7279206587379745,7.015858136963966
SOX8,skew,0.5829472944656083,0.5829472944656083
IBTK,normal,2.9971391001870744,5.493338798025447
ZNF195,normal,2.5963752147224803,5.546195746324633
MYCBP2,normal,2.3894511858647354,6.119834558166478
FBXL3,normal,2.597366217934728,5.240615086047399
ITGAL,skew,0.8760002689140383,0.8760002689140383
